time,value
6.732720,5.435374
6.732720,5.446866
6.732720,5.486196
6.738734,5.406766
6.738734,5.481244
6.779754,5.433644
6.779754,5.437250
6.779754,5.502448
6.779754,5.427730
6.825836,5.467829
6.825836,5.507208
6.825836,5.416959
6.825836,5.480330
6.825836,5.441577
6.870978,5.440086
6.870978,5.490668
6.870978,5.409795
6.870978,5.484465
6.870978,5.418450
6.904809,5.431913
6.904809,5.468406
6.921870,5.379697
6.921870,5.461386
6.921870,5.410180
6.921870,5.404362
6.921870,5.442587
6.956534,5.387774
6.956534,5.477542
6.978064,5.407584
6.978064,5.418209
6.978064,5.471820
6.979150,5.433788
6.979150,5.429509
6.979150,5.491148
6.980664,5.459271
7.022275,5.534421
7.022275,5.522497
7.023250,5.378446
7.023250,5.509756
7.023250,5.499947
7.061149,5.338731
7.061149,5.292958
7.061149,5.327480
7.061149,5.498745
7.061149,5.447395
7.065989,5.479898
7.068088,5.544711
7.105201,5.496053
7.107205,5.426528
7.107205,5.314931
7.107832,5.313345
7.107832,5.390082
7.154514,5.349550
7.154514,5.413738
7.154514,5.469512
7.154514,4.987163
7.154514,2.547528
7.154514,2.466127
7.186480,2.338616
7.205507,2.444346
7.205507,2.328471
7.205507,2.446462
7.205507,2.406218
7.228175,2.346838
7.228175,2.492187
7.246239,2.340299
7.246239,2.295872
7.246239,2.040609
7.296224,2.274043
7.296224,4.471060
7.296224,5.599956
7.296224,4.033090
7.296224,2.708167
7.296224,2.377033
7.296224,2.512862
7.300652,2.501995
7.300652,2.387851
7.342308,2.587387
7.342308,2.376023
7.342308,2.999298
7.342308,5.638902
7.393441,5.467012
7.393441,5.496918
7.393441,5.430230
7.393441,5.604476
7.393441,5.518939
7.393441,5.463983
7.393441,5.736987
7.448134,5.519372
7.448134,5.604235
7.448134,5.754633
7.453650,5.614669
7.453650,5.636546
7.476903,5.518314
7.476903,5.497928
7.502117,5.555192
7.502117,5.420373
7.504714,5.433307
7.504714,5.370465
7.504714,5.322192
7.530144,5.447395
7.530144,5.362628
7.549140,5.381427
7.549140,5.347723
7.549140,5.316855
7.549140,5.390034
7.549140,5.270360
7.589353,5.345559
7.589353,5.345896
7.589353,5.312768
7.589353,5.374840
7.590323,5.396285
7.590323,5.348059
7.629882,5.280794
7.629882,5.261225
7.629882,5.355319
7.629882,5.349790
7.629882,5.339501
7.668295,5.382149
7.668295,5.326663
7.716286,5.416623
7.716286,5.365849
7.716286,5.396669
7.716286,5.410276
7.716286,5.274399
7.716286,5.335943
7.716286,5.313681
7.716286,5.314018
7.716286,5.377148
7.760056,5.284736
7.760056,5.284111
7.760056,5.231366
7.760056,5.281275
7.760056,5.305507
7.791721,5.259878
7.791721,5.298824
7.808676,5.305892
7.808676,5.302767
7.808676,5.393448
7.809591,5.249974
7.809591,5.263869
7.838199,5.347626
7.838199,5.235021
7.855265,5.293391
7.855265,5.268100
7.855265,5.274639
7.855265,5.334116
7.859338,5.302142
7.903391,5.347386
7.903391,5.276755
7.903391,5.344117
7.903391,5.414219
7.904376,5.388015
7.904376,5.545192
7.947638,5.528267
7.947638,5.519709
7.947638,5.453261
7.947638,5.286996
7.947638,5.295266
8.010645,5.311710
8.010645,5.242569
8.010645,5.336087
8.012651,5.280938
8.012651,5.334500
8.012651,5.351233
8.012651,5.271322
8.038774,5.134723
8.038774,4.847679
8.060797,5.627074
8.062407,7.891356
8.062407,8.599110
8.062407,6.544461
8.062407,5.390899
8.104745,5.357964
8.104745,5.451097
8.104745,5.440471
8.105740,5.428787
8.105740,5.342722
8.146394,5.373638
8.146394,5.408353
8.147645,5.377725
8.147645,5.443212
8.147645,5.451337
8.147645,5.378831
8.147645,5.462252
8.185694,5.458069
8.185694,5.485523
8.185694,5.515910
8.185694,5.494033
8.232946,5.578560
8.232946,5.516295
8.232946,5.569376
8.232946,5.615053
8.232946,5.579233
8.232946,5.623948
8.232946,5.531152
8.281734,5.528267
8.281734,5.540191
8.281734,5.477445
8.281734,5.544422
8.281734,5.507977
8.284884,5.421335
8.284884,5.443404
8.325178,5.405083
8.325178,5.367003
8.328373,5.302238
8.328373,5.193575
8.328373,5.246752
8.371974,5.204585
8.371974,5.237328
8.371974,5.250406
8.371974,5.209634
8.402022,5.284304
8.402022,5.219106
8.421015,5.254445
8.421015,5.305123
8.421015,5.233001
8.421015,5.267235
8.421015,5.236848
8.466743,5.257619
8.466743,5.263677
8.466743,5.227279
8.466743,5.289544
8.466743,5.285121
8.469442,5.213144
8.469442,5.264687
8.506779,5.216846
8.506779,5.263004
8.529631,5.259542
8.529631,5.194344
8.529631,5.249301
8.531862,5.182804
8.531862,5.231270
8.574571,5.240983
8.574571,5.207326
8.574571,5.284496
8.574571,5.242810
8.575558,5.346280
8.575558,5.375754
8.616375,5.407247
8.616375,5.539566
8.616375,5.431624
8.617376,5.383351
8.617376,5.342770
8.656005,5.228962
8.656005,5.255263
8.656005,5.262859
8.700317,5.205162
8.700317,5.250935
8.700317,5.229587
8.700317,5.272572
8.700317,5.207614
8.700317,4.969084
8.747107,4.831957
8.747704,5.443789
8.747704,7.748604
8.747704,8.133493
8.747704,6.281505
8.757010,5.322961
8.757010,5.187132
8.798126,5.282477
8.798126,5.331567
8.798126,5.288487
8.840759,5.360224
8.840759,5.303825
8.840759,5.243723
8.840759,5.360031
8.840759,5.306469
8.840759,5.345126
8.840759,5.389938
8.840759,5.313345
8.840759,5.495283
8.840759,5.425566
8.840759,5.453982
8.887866,5.491966
8.887866,5.413498
8.887866,5.630728
8.887866,5.546442
8.887866,5.582551
8.915926,5.671356
8.915926,5.579089
8.933043,5.663904
8.933043,5.584041
8.933043,5.622506
8.933043,5.647797
8.949243,5.593898
8.950158,5.597263
8.971866,5.576012
8.990123,5.501871
8.990123,5.501822
8.990123,5.394409
8.990123,5.387966
9.023993,5.326855
9.023993,5.283005
9.048059,5.308392
9.048059,5.231270
9.048059,5.273101
9.048059,5.229780
9.048059,5.234780
9.072619,5.272716
9.072619,5.229732
9.089280,5.325750
9.089280,5.260552
9.089280,5.299353
9.109712,5.315989
9.109712,5.269399
9.128516,5.285938
9.128516,5.301661
9.128516,5.275409
9.166832,5.325365
9.166832,5.262379
9.166832,5.281226
9.166832,5.277188
9.166832,5.237617
9.166832,5.326134
9.214287,5.298488
9.214287,5.369359
9.214287,5.428018
9.214287,5.480907
9.214287,5.611592
9.218329,5.435951
9.218329,5.393159
9.262934,5.326807
9.262934,5.258725
9.262934,5.316374
9.262934,5.219827
9.262934,5.242810
9.307921,5.264254
9.307921,5.208576
9.307921,5.261032
9.307921,5.231703
9.312401,5.014809
9.312401,4.842535
9.354248,5.326904
9.354248,7.547432
9.354248,8.061467
9.354248,6.237127
9.354248,5.271754
9.357428,5.076930
9.357428,5.240165
9.384553,5.288487
9.402498,5.264158
9.402498,5.322528
9.402498,5.265841
9.402498,5.323826
9.449092,5.331567
9.449092,5.303055
9.510242,5.405756
9.510242,5.386187
9.510242,5.399794
9.510242,5.449991
9.510242,5.391140
9.515330,5.471531
9.515330,5.485860
9.515330,5.493745
9.515330,5.584907
9.544578,5.522257
9.544578,5.607264
9.544578,5.609909
9.544578,5.585387
9.544578,5.658278
9.567949,5.564087
9.567949,5.605101
9.569994,5.554231
9.569994,5.504034
9.569994,5.522978
9.612534,5.387197
9.612534,5.396525
9.646158,5.330125
9.646158,5.271851
9.646158,5.297670
9.646158,5.251224
9.647158,5.222087
9.678793,5.280986
9.678793,5.187613
9.678793,5.223577
9.678793,5.204345
9.702931,5.202854
9.702931,5.280890
9.702931,5.222327
9.702931,5.284352
9.702931,5.243867
9.728955,5.233338
9.728955,5.316374
9.748056,5.239540
9.748056,5.303296
9.748056,5.276707
9.748056,5.241511
9.748056,5.304305
9.789702,5.209009
9.789702,5.254349
9.789702,5.269975
9.789702,5.187661
9.790699,5.242473
9.790699,5.200402
9.850286,5.173813
9.850286,5.239925
9.850286,5.170928
9.851280,5.229972
9.851280,5.203960
9.851280,5.188430
9.851280,5.262283
9.932614,5.181025
9.932614,5.237521
9.932614,5.204826
9.962718,5.196315
9.962718,5.249301
9.962718,5.160014
9.962718,5.232184
9.962718,5.201268
9.962718,5.167274
9.986173,5.226126
9.986173,5.178621
9.986173,5.180208
9.986173,5.218000
9.986173,5.135108
9.987171,5.209297
9.987171,5.176458
10.013768,5.167178
10.013768,5.229780
10.013768,5.145349
10.035993,5.218865
10.035993,5.189584
10.040007,5.179583
10.040007,5.225549
10.071449,5.146359
10.071449,5.222327
10.097805,5.186314
10.097805,5.162659
10.097805,5.235261
10.115844,5.156023
10.115844,5.217471
10.115844,5.193142
10.115844,5.161841
10.118482,5.224250
10.118482,5.194007
10.118482,5.185112
10.155726,5.254926
10.155726,5.182324
10.155726,5.246175
10.155726,5.190642
10.180299,5.174775
10.180299,5.252570
10.201220,5.146167
10.201220,5.220212
10.201220,5.181266
10.213300,5.189536
10.252088,5.242810
10.252088,5.165976
10.252088,5.244781
10.252088,5.214346
10.290618,5.215884
10.290618,5.249781
10.310764,5.159822
10.310764,5.188574
10.310764,5.254397
10.310764,5.176554
10.310764,5.301709
10.310764,5.236271
10.310764,5.240502
10.336066,5.360224
10.336066,5.303825
10.354427,5.320653
10.354427,5.215980
10.354427,5.182708
10.354427,5.227087
10.354427,5.147801
10.396078,5.221702
10.396078,5.186651
10.396078,5.189344
10.396078,5.234299
10.418071,4.950236
10.418071,4.917782
10.435102,5.674386
10.435102,7.640036
10.435102,8.896684
10.437908,7.857074
10.437908,5.782135
10.450751,5.258725
10.451864,5.220019
10.489937,5.305075
10.489937,5.242569
10.489937,5.199633
10.489937,5.271033
10.491524,5.184535
10.530368,5.256176
10.530368,5.204008
10.530368,5.222183
10.530368,5.291708
10.543106,5.221846
10.543106,5.294641
10.570912,5.254830
10.592192,5.268196
10.592192,5.332721
10.641046,5.258676
10.641046,5.353012
10.643044,5.295266
10.643044,5.276130
10.643044,5.349838
10.643044,5.291227
10.643044,5.278630
10.666975,5.317047
10.666975,5.229684
10.695258,5.283727
10.695258,5.211076
10.695258,5.222087
10.695258,5.288391
10.695258,5.229780
10.720276,5.300122
10.720276,5.237232
10.737636,5.231847
10.737636,5.262811
10.737636,5.143378
10.737636,5.202085
10.738631,5.146455
10.759347,5.163861
10.759347,5.217759
10.776047,5.139195
10.776047,5.176650
10.776047,5.231126
10.776047,5.147032
10.817796,5.245454
10.817796,5.175304
10.817796,5.198960
10.817796,5.243290
10.817796,5.156937
10.858891,5.244541
10.858891,5.186411
10.858891,5.194007
10.858891,5.258628
